receipt,meat_level,ingrs,time,front_ingrs,name,minutes
"Приготовьте продукты для борща. Так как сейчас зима, у меня имеются в морозилке замороженные овощи, которые уже подготовлены для варки-жарки. Если овощи свежие, то нужно их вымыть и очистить. Порежьте лук кубиками, морковь и свеклу соломкой. Воду для борща посолите и доведите до кипения. Разогрейте сковороду с растительным маслом и обжарьте первой свеклу до полуготовности. Добавьте лук и морковь, обжарьте еще пару минут. Добавьте не крупно порезанные грибы (шампиньоны) и периодически помешивая жарьте 5-7 минут. Влейте томатную пасту разведенную в небольшом количестве воды, добавьте соль, перец черный и тушите до готовности борщевую заправку. Картофель очистите, вымойте и порежьте не большими кусочками. В кипящую соленую воду положите картофель и проварите 15 минут. Нашинкуйте тонко белокочанную капусту. Добавьте ее в борщ вместе со стручковой фасолью. Варите 10 минут. Добавьте борщевую заправку в борщ, зелень. Откорректируйте на соль. Проварите пару минут и можно выключать огонь. Борщ готов! Дайте ему настояться минут 20-30. Подавайте борщ с зеленью и сметаной. Строгим вегетарианцам (веганам) без сметаны. Приятного!",веган,"гриб,свекла,морковь,картофель,фасоль,капуста,томатная паста,соль,перец,сметана",обед,"3 л. Вода 300 г. Грибы (шампиньоны) 250  г. Свекла 1 шт. Лук1  шт. Морковь 5-7  шт. Картофель 700-900  г. Капуста белокачанная 250  г. Фасоль стручковая 2-3 ст.л. Томатная паста 4 ст.л. Растительное масло по вкусу Соль, перец черный молотый по вкусу Зелень по вкусу Сметана",Борщ вегетарианский с грибами,60
"Сварить мясной бульон из нежирной безкостной свиной лопатки. Потушить в растительном масле нарезанный лук и помидор до мягкости. Можно добавить бульона. Соленые огурцы нарезать ломтиками. У крупных огурцов кожицу надо счистить. Мясо порезать ломтиками. В солянку можно также добавить порезанные сосиски, ветчину и т.д. Лук, огурцы и мясо (сосиски) положить в бульон и поставить вариться на 10 минут. Добавить соль, лавровый лист, незадолго до окончания варки - кружочки помидоров и маслины. Солянку подают на стол со сметаной, посыпав зеленью. По желанию добавляют сок лимона.",мясоед,"свинина,соленый огурец,помидор,лук,маслины",обед,"0,5 кг. мясо 4-6 шт. соленые огурцы 2  шт. лук 2-3 шт. помидоры 1 б.  по вкусу маслины б/к по вкусу лавровый лист",Солянка со свининой,80
"Смешайте в блендере холодную воду, масло и щепотку соли. У вас должна получиться белая пена. В большой миске смешайте муку, имбирь, корицу, мускатный орех, сахар. Соедините сухие ингредиенты с взбитым маслом, перемешайте и вымесите тесто. Оставьте его в холодильнике на 10 минут. Раскатайте тесто толщиной в сантиметр и вырежьте печенья любыми формочками. Выпекайте при температуре 180 градусов 15—20 минут.",веган,"мука,масло,соль,сахар,имбирь,мускатный орех,корица",перекус,2 стак. Мука 1 стак. Масло (растительное или кокосовое) 1  стак. Вода (ледяная) по вкусу Соль по вкусу Сахар (или подсластитель) по вкусу Имбирь (порошок) по вкусу Мускатный орех по вкусу Корица (молотая),Имбирное печенье,30
"Разогрейте духовку до 180 градусов. Нарежьте кубиками багет, предварительно избавившись от корки. В большой миске смешайте сливочное масло с одной столовой ложкой оливкового и добавьте хлеб. Встряхните миску, чтобы хлебные кубики полностью пропитались маслом. Добавьте соль, чёрный и кайенский перцы, перемешайте. Возьмите большой противень с низкими стенками, выстелите бумагу для выпечки. Для придания пикантного аромата натрите поверхность бумаги очищенным чесноком. Выложите хлебные кубики в один слой и выпекайте в духовке до золотистой корочки в течение 10 минут. Для соуса выложите анчоусы в деревянную миску, добавьте измельчённую головку чеснока и чайную ложку соли. Используя две вилки, измельчите чеснок и анчоусы до состояния пасты. Вмешайте перец, лимонный сок, вустерширский соус, горчицу и яичный желток. Добавьте в получившуюся смесь 0,5 стакана оливкового масла. Салат ромэн промойте, избавьтесь от верхних листьев, хорошенько просушите, разорвите на небольшие кусочки и добавьте в миску к соусу, следом отправив туда сухарики и тёртый сыр. При желании посыпьте ещё сверху сыром — и сразу к столу. Замаринуйте курицу: разрежьте филе на тонкие полоски, натрите их солью, чёрным перцем и раздавленным чесноком. Уберите на час в холодильник. Разогрейте духовку до 200 градусов, положите курицу на противень и запекайте в течение 20 минут. После того как кусочки филе остынут, выложите их поверх готового салата «Цезарь».",мясоед,"масло,перец,хлеб,курица,анчоусы,горчица,яйцо,сыр,соль,чеснок",ужин,"2 ст. л. Масло (растопленное несолёное масло) 0,5 стак. Масло (оливковое extra virgin) 1  шт. Хлеб (свежий багет) 1/4 ч. л. Перец (кайенский) 4  филе Анчоусы 1  ст. л. Лимон (свежевыжатый лимонный сок) 1  ст. л. Соус (вустерширский) 1/2  ч. л. Горчица (дижонская) 1 шт. Яйца 500 г. Салат (ромэн) 100 г. Сыр (тёртый пармезан) по вкусу Перец по вкусу Соль 4 шт. Курица (куриное филе) 3 зуб. Чеснок",«Цезарь» с курицей,20
"Подготовить необходимые ингредиенты. Перемолоть в блендере творог, брынзу, яйца, натертые на крупной терке, мелко порезанную зелень и сметану. Помидоры помыть и у каждого помидора отрезать небольшой кусочек под углом. Затем соединить две половинки помидоров. Получится сердечко Сформировать сердечки из всех помидоров. Совет! Сердечки можно скрепить зубочистками и украсить ими любое другое блюдо. Отрезанные кусочки помидоров добавить в начинку и перемешать ложкой. Заполнить тарталетки полученной начинкой, а сверху выложить помидорные сердечки. Затем можно украсить тарталетки красными икринками, разложив их вокруг сердечек. Приближается День Святого Валентина и можно порадовать своих любимых и близких такой закуской!!!",мясоед,"икра красная,тарталетка,сыр,творог,яйцо,помидор,укроп",перекус,"10 для украшения Икра красная 150 шт. Тарталетки 100  г. Творог 3 г. Брынза или фета 2  ст. л. Сметана 20  шт. Яйцо куриное 
5 шт. Помидоры черри по вкусу Укроп",Тарталетки «Сердце»,15
Натрите картофель на крупной терке Выложите натертый картофель в миску и залейте холодной водой Нарежьте лук мелкими кубиками Тщательно отожмите картофель Замесите тесто на драники Густоту теста ровняйте мукой Обжарьте на среднем огне Переверните и обжарьте вторую сторону на среднем огне Выложите драники на бумажное полотенце Приятного аппетита!,веган,"картофель, лук, яйцо, мука, соль, перец",завтрак,"500 г. Картофель 1 шт. Лук-порей 2  шт. Куриное яйцо 3 ст. л. Мука по вкусу Соль, перец",Драники домашние,25
"Разогрейте духовку до 180 °С. Застелите два противня бумагой для выпечки. В большой кастрюле нагрейте мед и масло, пока не появятся пузырьки. Добавьте геркулес, миндаль и корицу. Хорошо размешайте смесь деревянной ложкой, пока весь геркулес не пропитается. Переложите массу на противни и разровняйте. Поставьте в духовку и готовьте 20-25 мин., до золотистого цвета, перемешайте 1 раз во время приготовления. Выньте противни из духовки и, пока смесь еще горячая, добавьте клюкву и кусочки Курага. Перемешайте и снова разровняйте мюсли на противнях, оставьте до полного остывания. Готовые мюсли храните в герметичном контейнере 3 недели. Подавайте с йогуртом, фруктами или молоком.",веган,"мед,геркулес,миндаль,курага,клюква,масло,корица",завтрак,200 г. Мед натуральный 300 г. Геркулес 100  г. Миндаль сладкий 100 г. Курага 50  г. Клюква вяленая 4  ст. л. Растительное масло 1  ч. л. Корица,Медовые мюсли,40
"Натереть морковь, добавить 2 ложки мюсли ( желательно фруктовые или с изюмом). Добавить яйцо, перемещать, посыпать корицей. Сформировать котлетки и жарить до полной готовности.",веган,"морковь,мюсли,яйцо,корица",завтрак,"1 шт. Морковь 2 ст.л. Мюсли 1  шт. Яйцо куриное ½ ч.л. Молотая корица
",Морковные котлеты с мюсли,60
"Лимон хорошо вымыть, порезать на крупные куски прямо с кожурой. Достать все косточки и измельчить на кусочки (в блендере). Курага должна быть эластичная. Если она сухая, то предварительно замочите её в кипятке. Потом измельчите также как и лимон Орехи также измельчить. Смешать курагу, лимон, добавить мед, орехи и всыпать хлопья геркулеса. Хорошенько вымешать. Уложить массу на антипригарный противень толщиной примерно 1 см и хорошо утрамбовать Поставить в духовку при температуре 200 градусов на 15-20 минут. Следить чтобы не подгорело. После вытащить, переложить на пищевую пленку, полностью завернуть в пленку и хорошенько утрамбовать до плотного состояния. Убрать в холодильник до полного застывания на 3-4 часа. Порезать на батончики. Приятного аппетита!",веган,"курага,мед,миндаль,лимон,орехи,геркулес",перекус,100 г. Курага 3 ст.л Мед 40  г. Миндаль 1/2 шт. Лимон 40  г. Орехи грецкие 40  г. Геркулес,Лимонные батончики-мюсли,40
"Разогрейте духовку до 180 °С. Раздавите, очистите и измельчите чеснок. Очистите желтую луковицу и нарежьте тонкими перьями. Обжарьте лук и чеснок с оливковым маслом до золотистого цвета, снимите с огня, немного остудите. Пропустите мясо, сало, очищенный картофель и половину луково-чесночной смеси через мясорубку с крупной решеткой. Посолите фарш, по-перчите, тщательно вымесите и отбейте об доску. Мокрыми руками формируйте круглые котлеты. Нагрейте антипригарную сковороду с жаропрочной ручкой, жарьте котлеты без масла на сильном огне до румяной корочки с обеих сторон. Переставьте сковороду в духовку на 10–15 мин. Для соуса проварите оставшийся лук с чесноком, брусникой, розмарином, уксусом, медом, солью и перцем. Подавайте котлеты с брусничным соусом.",мясоед,"баранина, сало, картофель, лук, чеснок, розмарин, брусника, мед, уксус, оливковое масло",ужин,"700 г. баранина 200 г. курдючье сало 1  шт. картофель 1 шт. лук 1  шт. красный лук 4  зуб. чеснок по вкусу розмарин 400  г. брусника 1 ч. л. мед 1 ст. л. яблочный уксус по вкусу оливковое масло по вкусу соль, перец
",Котлеты из баранины с брусникой,30
